Date,VIX,VIXRET,DJIA,DJIARET,vFutures,VFUTRET
Aug-18,10.93,-0.148090413,"25,629.20",0.01,12.72,-0.095948827
Jul-18,12.83,-0.202610317,"25,415.19",0.05,14.07,-0.121722846
Jun-18,16.09,0.042773817,"24,271.41",-0.01,16.02,0.0382372
May-18,15.43,-0.03138732,"24,415.84",0.01,15.43,-0.071600481
Apr-18,15.93,-0.202303455,"24,163.15",0,16.62,-0.159332322
Mar-18,19.97,0.00604534,"24,103.11",-0.04,19.77,0.064620355
Feb-18,19.85,0.466026588,"25,029.20",-0.04,18.57,0.378619154
Jan-18,13.54,0.226449275,"26,149.39",0.06,13.47,0.174367916
Dec-17,11.04,-0.021276596,"24,719.22",0.02,11.47,-0.017979452
Nov-17,11.28,0.10805501,"24,272.35",0.04,11.68,0.035460993
Oct-17,10.18,0.070452156,"23,377.24",0.04,11.28,-0.034246575
Sep-17,9.51,-0.101983003,"22,405.09",0.02,11.68,-0.074484945
Aug-17,10.59,0.032163743,"21,948.10",0,12.62,0.118794326
Jul-17,10.26,-0.082289803,"21,891.12",0.03,11.28,-0.084415584
Jun-17,11.18,0.073967339,"21,349.63",0.02,12.32,0.042301184
May-17,10.41,-0.037892791,"21,008.65",0,11.82,-0.037459283
Apr-17,10.82,-0.125303153,"20,940.51",0.01,12.28,-0.075301205
Mar-17,12.37,-0.042569659,"20,663.22",-0.01,13.28,-0.018477458
Feb-17,12.92,0.077564637,"20,812.24",0.05,13.53,0.046403712
Jan-17,11.99,-0.146011396,"19,864.09",0.01,12.93,-0.14484127
Dec-16,14.04,0.053263316,"19,762.60",0.03,15.12,0.040605643
Nov-16,13.33,-0.218640094,"19,123.58",0.05,14.53,-0.156703424
Oct-16,17.06,0.283671934,"18,142.42",-0.01,17.23,0.091888466
Sep-16,13.29,-0.009687034,"18,308.15",-0.01,15.78,0.083047358
Aug-16,13.42,0.130581297,"18,400.88",0,14.57,0.054269175
Jul-16,11.87,-0.24056302,"18,432.24",0.03,13.82,-0.186101296
Jun-16,15.63,0.101479915,"17,929.99",0.01,16.98,0.111256545
May-16,14.19,-0.096178344,"17,787.20",0,15.28,-0.09478673
Apr-16,15.7,0.125448029,"17,773.64",0.01,16.88,0.059635907
Mar-16,13.95,-0.321167883,"17,685.09",0.07,15.93,-0.268259072
Feb-16,20.55,0.017326733,"16,516.50",0,21.77,0.00693802
Jan-16,20.2,0.109280615,"16,466.30",-0.06,21.62,0.167386609
Dec-15,18.21,0.128952263,"17,425.03",-0.02,18.52,0.090694935
Nov-15,16.13,0.070338421,"17,719.92",0,16.98,0.02166065
Oct-15,15.07,-0.384897959,"17,663.54",0.08,16.62,-0.278019114
Sep-15,24.5,-0.13823426,"16,284.70",-0.01,23.02,-0.129020053
Aug-15,28.43,1.345709571,"16,528.03",-0.07,26.43,0.891911238
Jul-15,12.12,-0.335161821,"17,689.86",0,13.97,-0.193418014
Jun-15,18.23,0.317196532,"17,619.51",-0.02,17.32,0.184678523
May-15,13.84,-0.048797251,"18,010.68",0.01,14.62,-0.058596265
Apr-15,14.55,-0.048397646,"17,840.52",0,15.53,-0.045482483
Mar-15,15.29,0.146176912,"17,776.12",-0.02,16.27,0.028445006
Feb-15,13.34,-0.363853124,"18,132.70",0.06,15.82,-0.247383444
Jan-15,20.97,0.0921875,"17,164.95",-0.04,21.02,0.166481687
Dec-14,19.2,0.44036009,"17,823.07",0,18.02,0.213468013
